chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\TickUnit.java, TickUnit, 135, 76, 0.562962962962963, 1, 0.562962962962963
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\TickUnits.java, TickUnits, 134, 71, 0.5298507462686567, 1, 0.5298507462686567
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\TickUnitSource.java, TickUnitSource, 33, 29, 0.8787878787878788, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\Timeline.java, Timeline, 89, 81, 0.9101123595505618, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\axis\ValueTick.java, ValueTick, 91, 53, 0.5824175824175825, 2, 0.29120879120879123
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\block\AbstractBlock.java, AbstractBlock, 537, 298, 0.5549348230912476, 1, 0.5549348230912476
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\block\Arrangement.java, Arrangement, 32, 26, 0.8125, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\block\Block.java, Block, 61, 53, 0.8688524590163934, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\block\BlockBorder.java, BlockBorder, 165, 82, 0.49696969696969695, 1, 0.49696969696969695
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\block\BlockFrame.java, BlockFrame, 21, 18, 0.8571428571428571, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\block\BlockParams.java, BlockParams, 84, 56, 0.6666666666666666, 1, 0.6666666666666666
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\block\BlockResult.java, BlockResult, 30, 19, 0.6333333333333333, 1, 0.6333333333333333
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\block\BorderArrangement.java, BorderArrangement, 453, 96, 0.2119205298013245, 5, 0.0423841059602649
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\block\CenterArrangement.java, CenterArrangement, 259, 127, 0.49034749034749037, 1, 0.49034749034749037
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\block\ColorBlock.java, ColorBlock, 119, 67, 0.5630252100840336, 1, 0.5630252100840336
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\block\ColumnArrangement.java, ColumnArrangement, 313, 120, 0.38338658146964855, 3, 0.12779552715654952
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\block\EntityBlockParams.java, EntityBlockParams, 13, 11, 0.8461538461538461, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\block\EntityBlockResult.java, EntityBlockResult, 11, 9, 0.8181818181818182, 0, 0.0
